Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236453874507531,0.090687955497329,0.039463301654616,0.040070829619139,0.023454823294551,0.018183633319231,0.027150737549449,0.055919757513554,0.067058428774764,0.14938922961397,0.108067197970998,0.134207231842939,,
Angola,AGO,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515795687907934,0.872258768604799,3.66566311744975,3.50001374609567,2.01445484881144,5.5877806237861,2.69257389643154,1.33100422338682,2.25039956468771,9.10997545640991,7.36797328177184,5.86364349679307,2.90838806661811,3.58610681857029,2.66253022615597,3.67351804684054,8.55526040521905,12.3007965356528,16.2321625110476,,
Albania,ALB,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.19776411792363,12.1608992022617,22.1552856684362,31.0532391373495,,,,16.3343532018323,19.214911694913,16.9042738568665,,,,,,,13.6682301775033,13.4608020865638,13.2236898499138,11.6815414363756,10.9876215090978,10.2614056936117,8.5837737506021,9.58822665629312,
Andorra,AND,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.65453523501721,11.0514735626967,9.80266060465569,7.60836419725674,8.32103773142235,10.2016545114294,11.2133840525283,13.0351030804744,14.7114600687675,17.2745311993124,20.1040140301883,22.2743490173661,34.2849338854665,30.0083948621788,26.3142537893684,,,,,,,,,,7.75788916526639,7.37421073749561,11.3900941602608,9.41981401802244,,
Armenia,ARM,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04007337922149,2.44056684019969,1.98130833211915,1.85513374476396,1.46541025281867,2.17186874224572,3.82479630587602,4.16747686520194,4.45957393480411,4.53285590696072,5.32208689664101,5.85718553316555,7.54302134369226,9.69722344521238,10.4650763845107,
American Samoa,ASM,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,7.61963952765693,7.30593607305936,6.47370343316289,5.84471271192031,4.90613901572806,6.23129730681218,6.44885591080378,7.0347473886165,7.08063080249269,7.15937264952503,7.04294119083075,6.97328764295446,7.62621977089521,9.09076300057852,10.3731091450621,10.8229697587496,9.74560085563676,9.14087075729201,8.34078990587729,6.43565385494835,5.5571131628559,4.8801377581839,5.66260120938813,6.48421052631579,7.13911892374473,7.25416361674351,6.80762007830156,7.75163269994421,6.56836208574856,3.45060345060345,2.85592476489028,2.44969336446516,1.95927775643488,1.81233112465168,1.68068239803606,1.55315081150721,1.46349454195653,1.43293596118133,2.0108004444202,2.71088176195112,3.31348659707554,3.28011421332556,3.26089544846242,3.53107084686807,3.61332403458419,3.56481412254262,3.67762419846917,
Austria,AUT,Interest payments (% of expense),GC.XPN.INTP.ZS,,,,,,,,,,,,,2.34581914491109,2.11192580058908,2.06494497112345,2.32215259859933,3.31172028890347,3.81511097825275,4.37334032718094,4.69091571532668,4.96946844134282,5.27823240589196,5.9834081455195,5.90658442492536,6.9549104385423,7.52511308230041,7.78529363502106,8.54678696118081,8.69025247160715,9.23702433136395,9.59117629594443,10.0073835047036,10.0142370468297,9.73398739265699,9.29221255866717,7.97716668632785,7.95887553689266,7.59278788120707,7.46285693467462,7.21336754018971,7.50797010193534,7.28217889972513,7.27256801990315,6.81446251693828,6.19958328749224,6.92704652509672,6.72000450816804,6.72938760368424,6.14072749994769,6.2997222623901,6.05789131326025,5.94325738312196,5.77753618491946,5.44624943497935,5.00399593474383,4.95227663951469,4.54890820437772,4.08688752660935,,
